Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
10757268,0000039D,false,Rx,0,5,25,5C,01,28,00,00,00,00,
10757666,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10763260,00000523,false,Rx,0,6,02,01,00,04,7A,35,00,00,
10764278,00000524,false,Rx,0,6,03,01,FF,FF,FF,FC,00,00,
10767670,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10767858,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10771932,000003B4,false,Rx,0,8,00,FF,30,F0,B8,FF,00,00,
10772298,00000521,false,Rx,0,6,00,02,00,00,02,59,00,00,
10775647,1801D08F,true,Rx,0,8,00,8C,00,5E,03,00,00,47,
10777672,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10785247,00000522,false,Rx,0,6,01,01,00,04,7A,2E,00,00,
10787673,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10787862,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10791745,00000272,false,Rx,0,8,D0,FA,71,11,FF,FF,FF,FF,
10792247,00000521,false,Rx,0,6,00,03,00,00,02,67,00,00,
10797220,0000039D,false,Rx,0,5,26,5D,01,28,00,00,00,00,
10797680,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10807688,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10807867,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10810794,00000100,false,Rx,0,8,01,00,00,00,3D,09,3F,12,
10811050,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
10812237,00000521,false,Rx,0,6,00,04,00,00,02,6C,00,00,
10817684,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10823247,00000523,false,Rx,0,6,02,02,00,04,7A,0C,00,00,
10824263,00000524,false,Rx,0,6,03,02,00,00,00,0C,00,00,
10827686,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10827938,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
10828119,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10828374,000002FA,false,Rx,0,8,FD,FF,05,FF,FF,FF,FF,FF,
10828599,0000012F,false,Rx,0,8,F5,28,86,1D,F1,35,30,80,
10828833,000002F1,false,Rx,0,8,36,10,7D,60,09,08,07,A0,
10829078,0000003F,false,Rx,0,8,00,00,00,00,00,00,64,65,
10829334,000003E9,false,Rx,0,8,FE,FF,00,00,00,00,00,00,
10829558,00000431,false,Rx,0,8,CA,FF,0B,02,69,26,F3,4B,
10829782,00000432,false,Rx,0,8,2C,E2,10,A3,4E,FF,02,FF,
10830036,00000510,false,Rx,0,8,40,10,20,00,00,00,00,00,
10830282,0000051A,false,Rx,0,8,00,00,00,00,50,00,00,1A,
10830528,00000540,false,Rx,0,8,00,00,00,00,FD,3C,FF,40,
10832275,00000521,false,Rx,0,6,00,05,00,00,02,66,00,00,
10837248,0000039D,false,Rx,0,5,27,5E,01,28,00,00,00,00,
10837709,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10845152,00000522,false,Rx,0,6,01,02,00,04,7A,09,00,00,
10847715,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
10847894,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10852229,00000521,false,Rx,0,6,00,06,00,00,02,84,00,00,
