Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
31457945,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31461945,00000522,false,Rx,0,6,01,08,00,04,7A,01,00,00,
31467949,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31468127,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31469022,00000521,false,Rx,0,6,00,08,00,00,02,5E,00,00,
31475212,00000100,false,Rx,0,8,01,00,00,00,3D,09,75,12,
31475463,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
31477952,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31480806,0000039D,false,Rx,0,5,21,58,01,28,00,00,00,00,
31487958,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31488135,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31489010,00000521,false,Rx,0,6,00,09,00,00,02,5E,00,00,
31497955,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31500022,00000523,false,Rx,0,6,02,09,00,04,7A,60,00,00,
31501039,00000524,false,Rx,0,6,03,09,00,00,00,0A,00,00,
31507957,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31508145,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31509051,00000521,false,Rx,0,6,00,0A,00,00,02,7B,00,00,
